Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;964;-;-;964;-;-
Wählende;373;38,7 %;-;373;38,7 %;-
Ungültige Stimmen;4;1,1 %;-;2;0,5 %;-
Gültige Stimmen;369;98,9 %;-;371;99,5 %;-
SPD;116;31,4 %;-;99;26,7 %;-
AfD;144;39,0 %;-;129;34,8 %;-
CDU;31;8,4 %;-;24;6,5 %;-
GRÜNE/B 90;5;1,4 %;-;9;2,4 %;-
DIE LINKE;30;8,1 %;-;11;3,0 %;-
BVB / FREIE WÄHLER;38;10,3 %;-;15;4,0 %;-
FDP;5;1,4 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;5;1,3 %;-
Plus;-;-;-;7;1,9 %;-
BSW;-;-;-;66;17,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,8 %;-
WU;-;-;-;0;0,0 %;-
