Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;873;-;-;873;-;-
Wählende;449;51,4 %;-;449;51,4 %;-
Ungültige Stimmen;4;0,9 %;-;3;0,7 %;-
Gültige Stimmen;445;99,1 %;-;446;99,3 %;-
SPD;156;35,1 %;-;145;32,5 %;-
AfD;154;34,6 %;-;147;33,0 %;-
CDU;50;11,2 %;-;45;10,1 %;-
GRÜNE/B 90;7;1,6 %;-;16;3,6 %;-
DIE LINKE;28;6,3 %;-;18;4,0 %;-
BVB / FREIE WÄHLER;32;7,2 %;-;9;2,0 %;-
FDP;18;4,0 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;6;1,3 %;-
Plus;-;-;-;3;0,7 %;-
BSW;-;-;-;51;11,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;2;0,4 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
