Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;812;-;-;812;-;-
Ungültige Stimmen;14;1,7 %;-;5;0,6 %;-
Gültige Stimmen;798;98,3 %;-;807;99,4 %;-
SPD;249;31,2 %;-;234;29,0 %;-
AfD;156;19,5 %;-;124;15,4 %;-
CDU;145;18,2 %;-;113;14,0 %;-
GRÜNE/B 90;34;4,3 %;-;36;4,5 %;-
DIE LINKE;88;11,0 %;-;33;4,1 %;-
BVB / FREIE WÄHLER;100;12,5 %;-;25;3,1 %;-
FDP;26;3,3 %;-;17;2,1 %;-
Tierschutzpartei;-;-;-;17;2,1 %;-
Plus;-;-;-;15;1,9 %;-
BSW;-;-;-;185;22,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;2;0,2 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;4;0,5 %;-
