Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;919;-;-;919;-;-
Wählende;295;32,1 %;-;295;32,1 %;-
Ungültige Stimmen;8;2,7 %;-;6;2,0 %;-
Gültige Stimmen;287;97,3 %;-;289;98,0 %;-
SPD;87;30,3 %;-;68;23,5 %;-
AfD;121;42,2 %;-;116;40,1 %;-
CDU;21;7,3 %;-;22;7,6 %;-
GRÜNE/B 90;4;1,4 %;-;12;4,2 %;-
DIE LINKE;34;11,8 %;-;21;7,3 %;-
BVB / FREIE WÄHLER;14;4,9 %;-;2;0,7 %;-
FDP;6;2,1 %;-;5;1,7 %;-
Tierschutzpartei;-;-;-;4;1,4 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;37;12,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;0;0,0 %;-;-;-;-
