Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;894;-;-;894;-;-
Ungültige Stimmen;12;1,3 %;-01;6;0,7 %;-06
Gültige Stimmen;882;98,7 %;+01;888;99,3 %;+06
SPD;360;40,8 %;+101;341;38,4 %;+60
AfD;-;-;-164;186;20,9 %;+31
CDU;159;18,0 %;+31;109;12,3 %;-59
GRÜNE/B 90;23;2,6 %;-62;16;1,8 %;-80
DIE LINKE;46;5,2 %;-43;38;4,3 %;-60
BVB / FREIE WÄHLER;57;6,5 %;-103;15;1,7 %;-39
FDP;7;0,8 %;-21;3;0,3 %;-27
Tierschutzpartei;-;-;-;22;2,5 %;+04
Plus;-;-;-;5;0,6 %;-02
BSW;-;-;-;142;16,0 %;+160
III. Weg;-;-;-;1;0,1 %;+01
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;9;1,0 %;+10
WU;-;-;-;1;0,1 %;+01
EB Raue;230;26,1 %;+261;-;-;-
