Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;711;-;-;711;-;-
Wählende;355;49,9 %;-;355;49,9 %;-
Ungültige Stimmen;2;0,6 %;-;0;0,0 %;-
Gültige Stimmen;353;99,4 %;-;355;100,0 %;-
SPD;112;31,7 %;-;106;29,9 %;-
AfD;115;32,6 %;-;110;31,0 %;-
CDU;41;11,6 %;-;29;8,2 %;-
GRÜNE/B 90;7;2,0 %;-;11;3,1 %;-
DIE LINKE;37;10,5 %;-;21;5,9 %;-
BVB / FREIE WÄHLER;24;6,8 %;-;3;0,8 %;-
FDP;16;4,5 %;-;6;1,7 %;-
Tierschutzpartei;-;-;-;9;2,5 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;55;15,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,6 %;-
WU;-;-;-;2;0,6 %;-
dieBasis;1;0,3 %;-;-;-;-
