Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;739;-;-;739;-;-
Wählende;365;49,4 %;-;365;49,4 %;-
Ungültige Stimmen;4;1,1 %;-;1;0,3 %;-
Gültige Stimmen;361;98,9 %;-;364;99,7 %;-
SPD;162;44,9 %;-;133;36,5 %;-
AfD;79;21,9 %;-;75;20,6 %;-
CDU;60;16,6 %;-;45;12,4 %;-
GRÜNE/B 90;21;5,8 %;-;49;13,5 %;-
DIE LINKE;8;2,2 %;-;11;3,0 %;-
BVB / FREIE WÄHLER;25;6,9 %;-;4;1,1 %;-
FDP;6;1,7 %;-;5;1,4 %;-
Tierschutzpartei;-;-;-;3;0,8 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;36;9,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;3;0,8 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
