Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.017;-;-;1.017;-;-
Wählende;433;42,6 %;-;433;42,6 %;-
Ungültige Stimmen;36;8,3 %;-;4;0,9 %;-
Gültige Stimmen;397;91,7 %;-;429;99,1 %;-
SPD;173;43,6 %;-;157;36,6 %;-
AfD;-;-;-;155;36,1 %;-
CDU;64;16,1 %;-;26;6,1 %;-
GRÜNE/B 90;5;1,3 %;-;9;2,1 %;-
DIE LINKE;38;9,6 %;-;11;2,6 %;-
BVB / FREIE WÄHLER;66;16,6 %;-;13;3,0 %;-
FDP;4;1,0 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;4;0,9 %;-
Plus;-;-;-;5;1,2 %;-
BSW;-;-;-;46;10,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,5 %;-
EB Raue;47;11,8 %;-;-;-;-
