Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;961;-;-;961;-;-
Ungültige Stimmen;10;1,0 %;-;0;0,0 %;-
Gültige Stimmen;951;99,0 %;-;961;100,0 %;-
SPD;284;29,9 %;-;296;30,8 %;-
AfD;156;16,4 %;-;142;14,8 %;-
CDU;306;32,2 %;-;259;27,0 %;-
GRÜNE/B 90;73;7,7 %;-;63;6,6 %;-
DIE LINKE;35;3,7 %;-;32;3,3 %;-
BVB / FREIE WÄHLER;35;3,7 %;-;17;1,8 %;-
FDP;29;3,0 %;-;17;1,8 %;-
Tierschutzpartei;-;-;-;25;2,6 %;-
Plus;33;3,5 %;-;16;1,7 %;-
BSW;-;-;-;87;9,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;5;0,5 %;-
