Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.435;-;-;1.435;-;-
Wählende;625;43,6 %;-;625.0;43,6 %;-
Ungültige Stimmen;6;1,0 %;-;3.0;0,5 %;-
Gültige Stimmen;619;99,0 %;-;622.0;99,5 %;-
SPD;259;41,8 %;-;216.0;34,7 %;-
AfD;178;28,8 %;-;157.0;25,2 %;-
CDU;86;13,9 %;-;74.0;11,9 %;-
GRÜNE/B 90;15;2,4 %;-;32.0;5,1 %;-
DIE LINKE;23;3,7 %;-;17.0;2,7 %;-
BVB / FREIE WÄHLER;37;6,0 %;-;14.0;2,3 %;-
FDP;12;1,9 %;-;11.0;1,8 %;-
Tierschutzpartei;-;-;-;15.0;2,4 %;-
Plus;9;1,5 %;-;3.0;0,5 %;-
BSW;-;-;-;81.0;13,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;0.0;0,0 %;-
