Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.452;-;-;1.452;-;-
Wählende;577;39,7 %;-;577.0;39,7 %;-
Ungültige Stimmen;17;2,9 %;-;10.0;1,7 %;-
Gültige Stimmen;560;97,1 %;-;567.0;98,3 %;-
SPD;200;35,7 %;-;173.0;30,5 %;-
AfD;218;38,9 %;-;201.0;35,4 %;-
CDU;50;8,9 %;-;37.0;6,5 %;-
GRÜNE/B 90;9;1,6 %;-;13.0;2,3 %;-
DIE LINKE;36;6,4 %;-;30.0;5,3 %;-
BVB / FREIE WÄHLER;28;5,0 %;-;16.0;2,8 %;-
FDP;7;1,2 %;-;6.0;1,1 %;-
Tierschutzpartei;-;-;-;11.0;1,9 %;-
Plus;12;2,1 %;-;8.0;1,4 %;-
BSW;-;-;-;68.0;12,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;2.0;0,4 %;-
WU;-;-;-;1.0;0,2 %;-
