Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;868;-;-;868;-;-
Wählende;432;49,8 %;-;432;49,8 %;-
Ungültige Stimmen;5;1,2 %;-;4;0,9 %;-
Gültige Stimmen;427;98,8 %;-;428;99,1 %;-
SPD;144;33,7 %;-;126;29,4 %;-
AfD;190;44,5 %;-;181;42,3 %;-
CDU;47;11,0 %;-;34;7,9 %;-
GRÜNE/B 90;3;0,7 %;-;7;1,6 %;-
DIE LINKE;19;4,4 %;-;13;3,0 %;-
BVB / FREIE WÄHLER;14;3,3 %;-;4;0,9 %;-
FDP;6;1,4 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;8;1,9 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;46;10,7 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;4;0,9 %;-;2;0,5 %;-
WU;-;-;-;2;0,5 %;-
