Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;868;-;-;868;-;-
Ungültige Stimmen;12;1,4 %;-;6;0,7 %;-
Gültige Stimmen;856;98,6 %;-;862;99,3 %;-
SPD;314;36,7 %;-;291;33,8 %;-
AfD;174;20,3 %;-;150;17,4 %;-
CDU;175;20,4 %;-;146;16,9 %;-
GRÜNE/B 90;42;4,9 %;-;46;5,3 %;-
DIE LINKE;44;5,1 %;-;21;2,4 %;-
BVB / FREIE WÄHLER;74;8,6 %;-;31;3,6 %;-
FDP;10;1,2 %;-;5;0,6 %;-
Tierschutzpartei;-;-;-;28;3,2 %;-
Plus;23;2,7 %;-;11;1,3 %;-
BSW;-;-;-;126;14,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,1 %;-
WU;-;-;-;6;0,7 %;-
