Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;662;-;-;662;-;-
Wählende;309;46,7 %;-;309;46,7 %;-
Ungültige Stimmen;4;1,3 %;-;4;1,3 %;-
Gültige Stimmen;305;98,7 %;-;305;98,7 %;-
SPD;89;29,2 %;-;80;26,2 %;-
AfD;147;48,2 %;-;132;43,3 %;-
CDU;33;10,8 %;-;26;8,5 %;-
GRÜNE/B 90;1;0,3 %;-;5;1,6 %;-
DIE LINKE;18;5,9 %;-;15;4,9 %;-
BVB / FREIE WÄHLER;10;3,3 %;-;4;1,3 %;-
FDP;4;1,3 %;-;3;1,0 %;-
Tierschutzpartei;-;-;-;5;1,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;34;11,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;3;1,0 %;-;-;-;-
