Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;548;-;-;548;-;-
Ungültige Stimmen;7;1,3 %;+07;1;0,2 %;-01
Gültige Stimmen;541;98,7 %;-07;547;99,8 %;+01
SPD;145;26,8 %;+64;183;33,5 %;+89
AfD;133;24,6 %;+05;118;21,6 %;-22
CDU;145;26,8 %;+39;85;15,5 %;-56
GRÜNE/B 90;7;1,3 %;-77;11;2,0 %;-45
DIE LINKE;38;7,0 %;-45;13;2,4 %;-60
BVB / FREIE WÄHLER;29;5,4 %;-03;14;2,6 %;-20
FDP;12;2,2 %;-43;12;2,2 %;-47
Tierschutzpartei;17;3,1 %;+31;8;1,5 %;-14
Plus;-;-;-;2;0,4 %;-10
BSW;-;-;-;95;17,4 %;+174
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;15;2,8 %;+28;3;0,5 %;+05
WU;-;-;-;3;0,5 %;+05
