Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.420;-;-;1.42;-;-
Wählende;535;37,7 %;-;535.0;37,7 %;-
Ungültige Stimmen;9;1,7 %;-;8.0;1,5 %;-
Gültige Stimmen;526;98,3 %;-;527.0;98,5 %;-
SPD;183;34,8 %;-;152.0;28,8 %;-
AfD;210;39,9 %;-;199.0;37,8 %;-
CDU;63;12,0 %;-;38.0;7,2 %;-
GRÜNE/B 90;7;1,3 %;-;14.0;2,7 %;-
DIE LINKE;23;4,4 %;-;19.0;3,6 %;-
BVB / FREIE WÄHLER;30;5,7 %;-;16.0;3,0 %;-
FDP;4;0,8 %;-;1.0;0,2 %;-
Tierschutzpartei;-;-;-;17.0;3,2 %;-
Plus;-;-;-;5.0;0,9 %;-
BSW;-;-;-;62.0;11,8 %;-
III. Weg;6;1,1 %;-;1.0;0,2 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;2.0;0,4 %;-
WU;-;-;-;0.0;0,0 %;-
