Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;166;-;-;166;-;-
Wählende;113;68,1 %;-;113;68,1 %;-
Ungültige Stimmen;3;2,7 %;-;3;2,7 %;-
Gültige Stimmen;110;97,3 %;-;110;97,3 %;-
SPD;27;24,5 %;-;24;21,8 %;-
AfD;62;56,4 %;-;53;48,2 %;-
CDU;10;9,1 %;-;10;9,1 %;-
GRÜNE/B 90;1;0,9 %;-;1;0,9 %;-
DIE LINKE;6;5,5 %;-;3;2,7 %;-
BVB / FREIE WÄHLER;3;2,7 %;-;1;0,9 %;-
FDP;1;0,9 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;17;15,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,9 %;-
