Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;669;-;-;669;-;-
Ungültige Stimmen;12;1,8 %;-;6;0,9 %;-
Gültige Stimmen;657;98,2 %;-;663;99,1 %;-
SPD;217;33,0 %;-;223;33,6 %;-
AfD;135;20,5 %;-;106;16,0 %;-
CDU;137;20,9 %;-;105;15,8 %;-
GRÜNE/B 90;30;4,6 %;-;24;3,6 %;-
DIE LINKE;50;7,6 %;-;30;4,5 %;-
BVB / FREIE WÄHLER;54;8,2 %;-;20;3,0 %;-
FDP;7;1,1 %;-;2;0,3 %;-
Tierschutzpartei;-;-;-;10;1,5 %;-
Plus;-;-;-;9;1,4 %;-
BSW;-;-;-;125;18,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;2;0,3 %;-
DLW;27;4,1 %;-;4;0,6 %;-
WU;-;-;-;3;0,5 %;-
