Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;963;-;-;963;-;-
Wählende;429;44,5 %;-;429;44,5 %;-
Ungültige Stimmen;9;2,1 %;-;6;1,4 %;-
Gültige Stimmen;420;97,9 %;-;423;98,6 %;-
SPD;155;36,9 %;-;144;34,0 %;-
AfD;164;39,0 %;-;154;36,4 %;-
CDU;49;11,7 %;-;35;8,3 %;-
GRÜNE/B 90;9;2,1 %;-;17;4,0 %;-
DIE LINKE;7;1,7 %;-;5;1,2 %;-
BVB / FREIE WÄHLER;24;5,7 %;-;4;0,9 %;-
FDP;5;1,2 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;12;2,8 %;-
Plus;-;-;-;9;2,1 %;-
BSW;-;-;-;35;8,3 %;-
III. Weg;-;-;-;3;0,7 %;-
DKP;-;-;-;1;0,2 %;-
DLW;7;1,7 %;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
