Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;820;-;-;820;-;-
Ungültige Stimmen;16;2,0 %;+09;2;0,2 %;-06
Gültige Stimmen;804;98,0 %;-09;818;99,8 %;+06
SPD;254;31,6 %;+120;261;31,9 %;+113
AfD;206;25,6 %;-02;177;21,6 %;-33
CDU;178;22,1 %;+31;139;17,0 %;+04
GRÜNE/B 90;37;4,6 %;-62;26;3,2 %;-68
DIE LINKE;42;5,2 %;-68;19;2,3 %;-92
BVB / FREIE WÄHLER;83;10,3 %;+18;24;2,9 %;-39
FDP;4;0,5 %;-37;5;0,6 %;-33
Tierschutzpartei;-;-;-;12;1,5 %;-26
Plus;-;-;-;5;0,6 %;-07
BSW;-;-;-;145;17,7 %;+177
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,1 %;+01
WU;-;-;-;4;0,5 %;+05
