Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;243;-;-;243;-;-
Wählende;156;64,2 %;-;156;64,2 %;-
Ungültige Stimmen;8;5,1 %;-;3;1,9 %;-
Gültige Stimmen;148;94,9 %;-;153;98,1 %;-
SPD;64;43,2 %;-;62;40,5 %;-
AfD;-;-;-;43;28,1 %;-
CDU;18;12,2 %;-;7;4,6 %;-
GRÜNE/B 90;0;0,0 %;-;5;3,3 %;-
DIE LINKE;10;6,8 %;-;5;3,3 %;-
BVB / FREIE WÄHLER;15;10,1 %;-;0;0,0 %;-
FDP;2;1,4 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;1,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;28;18,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,7 %;-
WU;-;-;-;0;0,0 %;-
EB Raue;39;26,4 %;-;-;-;-
