Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.260;-;-;1.26;-;-
Wählende;620;49,2 %;-;620.0;49,2 %;-
Ungültige Stimmen;9;1,5 %;-;11.0;1,8 %;-
Gültige Stimmen;611;98,5 %;-;609.0;98,2 %;-
SPD;238;39,0 %;-;202.0;33,2 %;-
AfD;218;35,7 %;-;194.0;31,9 %;-
CDU;66;10,8 %;-;54.0;8,9 %;-
GRÜNE/B 90;10;1,6 %;-;7.0;1,1 %;-
DIE LINKE;26;4,3 %;-;19.0;3,1 %;-
BVB / FREIE WÄHLER;26;4,3 %;-;9.0;1,5 %;-
FDP;10;1,6 %;-;5.0;0,8 %;-
Tierschutzpartei;-;-;-;19.0;3,1 %;-
Plus;17;2,8 %;-;7.0;1,1 %;-
BSW;-;-;-;86.0;14,1 %;-
III. Weg;-;-;-;2.0;0,3 %;-
DKP;-;-;-;2.0;0,3 %;-
DLW;-;-;-;2.0;0,3 %;-
WU;-;-;-;1.0;0,2 %;-
