Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.442;-;-;1.442;-;-
Wählende;650;45,1 %;-;650.0;45,1 %;-
Ungültige Stimmen;5;0,8 %;-;2.0;0,3 %;-
Gültige Stimmen;645;99,2 %;-;648.0;99,7 %;-
SPD;266;41,2 %;-;225.0;34,7 %;-
AfD;181;28,1 %;-;165.0;25,5 %;-
CDU;82;12,7 %;-;65.0;10,0 %;-
GRÜNE/B 90;31;4,8 %;-;52.0;8,0 %;-
DIE LINKE;24;3,7 %;-;18.0;2,8 %;-
BVB / FREIE WÄHLER;36;5,6 %;-;12.0;1,9 %;-
FDP;14;2,2 %;-;11.0;1,7 %;-
Tierschutzpartei;-;-;-;16.0;2,5 %;-
Plus;11;1,7 %;-;3.0;0,5 %;-
BSW;-;-;-;75.0;11,6 %;-
III. Weg;-;-;-;2.0;0,3 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;2.0;0,3 %;-
WU;-;-;-;1.0;0,2 %;-
