Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.165;-;-;1.165;-;-
Wählende;520;44,6 %;-;520.0;44,6 %;-
Ungültige Stimmen;6;1,2 %;-;1.0;0,2 %;-
Gültige Stimmen;514;98,8 %;-;519.0;99,8 %;-
SPD;153;29,8 %;-;153.0;29,5 %;-
AfD;173;33,7 %;-;159.0;30,6 %;-
CDU;95;18,5 %;-;60.0;11,6 %;-
GRÜNE/B 90;15;2,9 %;-;31.0;6,0 %;-
DIE LINKE;30;5,8 %;-;15.0;2,9 %;-
BVB / FREIE WÄHLER;43;8,4 %;-;20.0;3,9 %;-
FDP;5;1,0 %;-;5.0;1,0 %;-
Tierschutzpartei;-;-;-;4.0;0,8 %;-
Plus;-;-;-;3.0;0,6 %;-
BSW;-;-;-;67.0;12,9 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;1.0;0,2 %;-
