Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;946;-;-;946;-;-
Wählende;456;48,2 %;-;456;48,2 %;-
Ungültige Stimmen;5;1,1 %;-;3;0,7 %;-
Gültige Stimmen;451;98,9 %;-;453;99,3 %;-
SPD;179;39,7 %;-;170;37,5 %;-
AfD;111;24,6 %;-;99;21,9 %;-
CDU;82;18,2 %;-;66;14,6 %;-
GRÜNE/B 90;39;8,6 %;-;47;10,4 %;-
DIE LINKE;11;2,4 %;-;10;2,2 %;-
BVB / FREIE WÄHLER;17;3,8 %;-;12;2,6 %;-
FDP;12;2,7 %;-;5;1,1 %;-
Tierschutzpartei;-;-;-;13;2,9 %;-
Plus;-;-;-;4;0,9 %;-
BSW;-;-;-;25;5,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
