Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;238;-;-;238;-;-
Wählende;159;66,8 %;-;159;66,8 %;-
Ungültige Stimmen;11;6,9 %;-;7;4,4 %;-
Gültige Stimmen;148;93,1 %;-;152;95,6 %;-
SPD;51;34,5 %;-;50;32,9 %;-
AfD;-;-;-;58;38,2 %;-
CDU;13;8,8 %;-;8;5,3 %;-
GRÜNE/B 90;1;0,7 %;-;1;0,7 %;-
DIE LINKE;15;10,1 %;-;9;5,9 %;-
BVB / FREIE WÄHLER;19;12,8 %;-;3;2,0 %;-
FDP;3;2,0 %;-;3;2,0 %;-
Tierschutzpartei;-;-;-;4;2,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;15;9,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,7 %;-
WU;-;-;-;0;0,0 %;-
EB Raue;46;31,1 %;-;-;-;-
