Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;3.570;-;-;3.57;-;-
Wählende;2.710;75,9 %;+141;2.71;75,9 %;+141
Ungültige Stimmen;32;1,2 %;-02;14.0;0,5 %;-09
Gültige Stimmen;2.678;98,8 %;+02;2.696;99,5 %;+09
SPD;836;31,2 %;+73;640.0;23,7 %;+18
AfD;1.112;41,5 %;+165;1.005;37,3 %;+117
CDU;394;14,7 %;-84;353.0;13,1 %;-92
GRÜNE/B 90;34;1,3 %;-65;80.0;3,0 %;-62
DIE LINKE;131;4,9 %;-60;73.0;2,7 %;-71
BVB / FREIE WÄHLER;133;5,0 %;-22;59.0;2,2 %;-40
FDP;25;0,9 %;-12;4.0;0,1 %;-24
Tierschutzpartei;-;-;-;44.0;1,6 %;+00
Plus;-;-;-;12.0;0,4 %;-03
BSW;-;-;-;400.0;14,8 %;+148
III. Weg;13;0,5 %;+05;5.0;0,2 %;+02
DKP;-;-;-;2.0;0,1 %;+01
DLW;-;-;-;13.0;0,5 %;+05
WU;-;-;-;6.0;0,2 %;+02
