Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;680;-;-;680;-;-
Wählende;299;44,0 %;-;299;44,0 %;-
Ungültige Stimmen;4;1,3 %;-;2;0,7 %;-
Gültige Stimmen;295;98,7 %;-;297;99,3 %;-
SPD;76;25,8 %;-;72;24,2 %;-
AfD;135;45,8 %;-;128;43,1 %;-
CDU;36;12,2 %;-;28;9,4 %;-
GRÜNE/B 90;3;1,0 %;-;3;1,0 %;-
DIE LINKE;19;6,4 %;-;3;1,0 %;-
BVB / FREIE WÄHLER;21;7,1 %;-;3;1,0 %;-
FDP;5;1,7 %;-;2;0,7 %;-
Tierschutzpartei;-;-;-;6;2,0 %;-
Plus;-;-;-;3;1,0 %;-
BSW;-;-;-;45;15,2 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;0;0,0 %;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;3;1,0 %;-
