Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;299;-;-;299;-;-
Wählende;195;65,2 %;-;195;65,2 %;-
Ungültige Stimmen;1;0,5 %;-;2;1,0 %;-
Gültige Stimmen;194;99,5 %;-;193;99,0 %;-
SPD;92;47,4 %;-;76;39,4 %;-
AfD;41;21,1 %;-;41;21,2 %;-
CDU;41;21,1 %;-;28;14,5 %;-
GRÜNE/B 90;3;1,5 %;-;11;5,7 %;-
DIE LINKE;4;2,1 %;-;3;1,6 %;-
BVB / FREIE WÄHLER;13;6,7 %;-;4;2,1 %;-
FDP;0;0,0 %;-;1;0,5 %;-
Tierschutzpartei;-;-;-;4;2,1 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;25;13,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
