Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.145;-;-;1.145;-;-
Wählende;530;46,3 %;-;530.0;46,3 %;-
Ungültige Stimmen;6;1,1 %;-;7.0;1,3 %;-
Gültige Stimmen;524;98,9 %;-;523.0;98,7 %;-
SPD;207;39,5 %;-;174.0;33,3 %;-
AfD;221;42,2 %;-;199.0;38,0 %;-
CDU;37;7,1 %;-;32.0;6,1 %;-
GRÜNE/B 90;3;0,6 %;-;7.0;1,3 %;-
DIE LINKE;14;2,7 %;-;7.0;1,3 %;-
BVB / FREIE WÄHLER;33;6,3 %;-;9.0;1,7 %;-
FDP;6;1,1 %;-;5.0;1,0 %;-
Tierschutzpartei;-;-;-;12.0;2,3 %;-
Plus;-;-;-;2.0;0,4 %;-
BSW;-;-;-;72.0;13,8 %;-
III. Weg;3;0,6 %;-;2.0;0,4 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;0.0;0,0 %;-
