Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;977;-;-;977;-;-
Wählende;524;53,6 %;-;524;53,6 %;-
Ungültige Stimmen;5;1,0 %;-;2;0,4 %;-
Gültige Stimmen;519;99,0 %;-;522;99,6 %;-
SPD;153;29,5 %;-;148;28,4 %;-
AfD;193;37,2 %;-;177;33,9 %;-
CDU;72;13,9 %;-;48;9,2 %;-
GRÜNE/B 90;12;2,3 %;-;19;3,6 %;-
DIE LINKE;27;5,2 %;-;15;2,9 %;-
BVB / FREIE WÄHLER;56;10,8 %;-;22;4,2 %;-
FDP;6;1,2 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;7;1,3 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;80;15,3 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,6 %;-
WU;-;-;-;0;0,0 %;-
