Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;861;-;-;861;-;-
Wählende;432;50,2 %;-;432;50,2 %;-
Ungültige Stimmen;6;1,4 %;-;2;0,5 %;-
Gültige Stimmen;426;98,6 %;-;430;99,5 %;-
SPD;84;19,7 %;-;121;28,1 %;-
AfD;124;29,1 %;-;107;24,9 %;-
CDU;48;11,3 %;-;55;12,8 %;-
GRÜNE/B 90;16;3,8 %;-;16;3,7 %;-
DIE LINKE;29;6,8 %;-;17;4,0 %;-
BVB / FREIE WÄHLER;118;27,7 %;-;41;9,5 %;-
FDP;6;1,4 %;-;8;1,9 %;-
Tierschutzpartei;-;-;-;6;1,4 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;55;12,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;0;0,0 %;-;-;-;-
EB Link;1;0,2 %;-;-;-;-
