Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.064;-;-;1.064;-;-
Wählende;559;52,5 %;-;559.0;52,5 %;-
Ungültige Stimmen;2;0,4 %;-;2.0;0,4 %;-
Gültige Stimmen;557;99,6 %;-;557.0;99,6 %;-
SPD;267;47,9 %;-;253.0;45,4 %;-
AfD;62;11,1 %;-;55.0;9,9 %;-
CDU;112;20,1 %;-;90.0;16,2 %;-
GRÜNE/B 90;72;12,9 %;-;89.0;16,0 %;-
DIE LINKE;14;2,5 %;-;10.0;1,8 %;-
BVB / FREIE WÄHLER;14;2,5 %;-;7.0;1,3 %;-
FDP;14;2,5 %;-;10.0;1,8 %;-
Tierschutzpartei;-;-;-;7.0;1,3 %;-
Plus;2;0,4 %;-;4.0;0,7 %;-
BSW;-;-;-;29.0;5,2 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;3.0;0,5 %;-
