Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;977;-;-;977;-;-
Ungültige Stimmen;17;1,7 %;-24;7;0,7 %;-03
Gültige Stimmen;960;98,3 %;+24;970;99,3 %;+03
SPD;288;30,0 %;+77;274;28,2 %;+38
AfD;301;31,4 %;+314;258;26,6 %;+27
CDU;195;20,3 %;-51;140;14,4 %;-66
GRÜNE/B 90;11;1,1 %;-27;7;0,7 %;-38
DIE LINKE;55;5,7 %;-167;23;2,4 %;-109
BVB / FREIE WÄHLER;74;7,7 %;-08;23;2,4 %;-22
FDP;25;2,6 %;-14;15;1,5 %;-27
Tierschutzpartei;-;-;-;23;2,4 %;-05
Plus;-;-;-;8;0,8 %;-02
BSW;-;-;-;188;19,4 %;+194
III. Weg;-;-;-;2;0,2 %;+02
DKP;11;1,1 %;+11;2;0,2 %;+02
DLW;-;-;-;5;0,5 %;+05
WU;-;-;-;2;0,2 %;+02
