Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;630;-;-;630;-;-
Wählende;336;53,3 %;-;336;53,3 %;-
Ungültige Stimmen;5;1,5 %;-;4;1,2 %;-
Gültige Stimmen;331;98,5 %;-;332;98,8 %;-
SPD;108;32,6 %;-;98;29,5 %;-
AfD;146;44,1 %;-;135;40,7 %;-
CDU;35;10,6 %;-;28;8,4 %;-
GRÜNE/B 90;2;0,6 %;-;7;2,1 %;-
DIE LINKE;9;2,7 %;-;5;1,5 %;-
BVB / FREIE WÄHLER;9;2,7 %;-;4;1,2 %;-
FDP;6;1,8 %;-;2;0,6 %;-
Tierschutzpartei;4;1,2 %;-;3;0,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;43;13,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;12;3,6 %;-;6;1,8 %;-
WU;-;-;-;1;0,3 %;-
