Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;483;-;-;483;-;-
Ungültige Stimmen;6;1,2 %;+06;2;0,4 %;+02
Gültige Stimmen;477;98,8 %;-06;481;99,6 %;-02
SPD;136;28,5 %;+112;127;26,4 %;+50
AfD;120;25,2 %;+51;96;20,0 %;-04
CDU;112;23,5 %;-16;94;19,5 %;-13
GRÜNE/B 90;17;3,6 %;-87;13;2,7 %;-82
DIE LINKE;33;6,9 %;-61;12;2,5 %;-101
BVB / FREIE WÄHLER;39;8,2 %;+09;22;4,6 %;-11
FDP;9;1,9 %;-30;5;1,0 %;-29
Tierschutzpartei;-;-;-;6;1,2 %;-17
Plus;-;-;-;2;0,4 %;-08
BSW;-;-;-;95;19,8 %;+198
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;6;1,2 %;+12
WU;-;-;-;2;0,4 %;+04
dieBasis;11;2,3 %;+23;-;-;-
