Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;785;-;-;785;-;-
Wählende;403;51,3 %;-;403;51,3 %;-
Ungültige Stimmen;6;1,5 %;-;4;1,0 %;-
Gültige Stimmen;397;98,5 %;-;399;99,0 %;-
SPD;134;33,8 %;-;120;30,1 %;-
AfD;151;38,0 %;-;142;35,6 %;-
CDU;57;14,4 %;-;42;10,5 %;-
GRÜNE/B 90;5;1,3 %;-;12;3,0 %;-
DIE LINKE;32;8,1 %;-;21;5,3 %;-
BVB / FREIE WÄHLER;12;3,0 %;-;8;2,0 %;-
FDP;5;1,3 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;5;1,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;43;10,8 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;1;0,3 %;-
dieBasis;1;0,3 %;-;-;-;-
