Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;168;-;-;168;-;-
Wählende;117;69,6 %;-;117;69,6 %;-
Ungültige Stimmen;1;0,9 %;-;1;0,9 %;-
Gültige Stimmen;116;99,1 %;-;116;99,1 %;-
SPD;32;27,6 %;-;26;22,4 %;-
AfD;55;47,4 %;-;52;44,8 %;-
CDU;24;20,7 %;-;20;17,2 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;1;0,9 %;-;2;1,7 %;-
BVB / FREIE WÄHLER;3;2,6 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;1;0,9 %;-
BSW;-;-;-;14;12,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;0,9 %;-;1;0,9 %;-
WU;-;-;-;0;0,0 %;-
