Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;541;-;-;541;-;-
Wählende;244;45,1 %;-;244;45,1 %;-
Ungültige Stimmen;3;1,2 %;-;3;1,2 %;-
Gültige Stimmen;241;98,8 %;-;241;98,8 %;-
SPD;90;37,3 %;-;92;38,2 %;-
AfD;68;28,2 %;-;72;29,9 %;-
CDU;58;24,1 %;-;36;14,9 %;-
GRÜNE/B 90;4;1,7 %;-;3;1,2 %;-
DIE LINKE;2;0,8 %;-;1;0,4 %;-
BVB / FREIE WÄHLER;17;7,1 %;-;3;1,2 %;-
FDP;2;0,8 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;8;3,3 %;-
Plus;-;-;-;2;0,8 %;-
BSW;-;-;-;22;9,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;0;0,0 %;-
