Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;854;-;-;854;-;-
Wählende;380;44,5 %;-;380;44,5 %;-
Ungültige Stimmen;5;1,3 %;-;3;0,8 %;-
Gültige Stimmen;375;98,7 %;-;377;99,2 %;-
SPD;141;37,6 %;-;117;31,0 %;-
AfD;149;39,7 %;-;147;39,0 %;-
CDU;40;10,7 %;-;38;10,1 %;-
GRÜNE/B 90;3;0,8 %;-;2;0,5 %;-
DIE LINKE;9;2,4 %;-;9;2,4 %;-
BVB / FREIE WÄHLER;17;4,5 %;-;6;1,6 %;-
FDP;3;0,8 %;-;6;1,6 %;-
Tierschutzpartei;-;-;-;5;1,3 %;-
Plus;8;2,1 %;-;3;0,8 %;-
BSW;-;-;-;41;10,9 %;-
III. Weg;4;1,1 %;-;3;0,8 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;1;0,3 %;-;-;-;-
