Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;513;-;-;513;-;-
Wählende;277;54,0 %;-;277;54,0 %;-
Ungültige Stimmen;3;1,1 %;-;3;1,1 %;-
Gültige Stimmen;274;98,9 %;-;274;98,9 %;-
SPD;66;24,1 %;-;54;19,7 %;-
AfD;104;38,0 %;-;95;34,7 %;-
CDU;68;24,8 %;-;52;19,0 %;-
GRÜNE/B 90;4;1,5 %;-;7;2,6 %;-
DIE LINKE;5;1,8 %;-;4;1,5 %;-
BVB / FREIE WÄHLER;23;8,4 %;-;8;2,9 %;-
FDP;4;1,5 %;-;2;0,7 %;-
Tierschutzpartei;-;-;-;8;2,9 %;-
Plus;-;-;-;2;0,7 %;-
BSW;-;-;-;42;15,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
