Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;617;-;-;617;-;-
Ungültige Stimmen;3;0,5 %;-;2;0,3 %;-
Gültige Stimmen;614;99,5 %;-;615;99,7 %;-
SPD;170;27,7 %;-;158;25,7 %;-
AfD;215;35,0 %;-;177;28,8 %;-
CDU;119;19,4 %;-;96;15,6 %;-
GRÜNE/B 90;8;1,3 %;-;9;1,5 %;-
DIE LINKE;61;9,9 %;-;15;2,4 %;-
BVB / FREIE WÄHLER;28;4,6 %;-;7;1,1 %;-
FDP;9;1,5 %;-;2;0,3 %;-
Tierschutzpartei;-;-;-;10;1,6 %;-
Plus;-;-;-;4;0,7 %;-
BSW;-;-;-;134;21,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;1;0,2 %;-
EB Hoffmann;4;0,7 %;-;-;-;-
